City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Khandyga,RU,2021-08-02 01:09:46,62.6667,135.6,79.3,27,0,6.04
91,Huarmey,PE,2021-08-02 01:09:47,-10.0681,-78.1522,64.92,84,30,8.39
92,Dongsheng,CN,2021-08-02 01:09:47,39.8161,109.9776,67.73,40,20,9.98
93,Necochea,AR,2021-08-02 01:09:48,-38.5473,-58.7368,41.65,70,0,8.84
94,Omboue,GA,2021-08-02 01:09:48,-1.5746,9.2618,75.11,79,100,6.93
95,Thanh Hoa,VN,2021-08-02 01:09:49,19.8,105.7667,82.89,83,92,2.66
96,Kodiak,US,2021-08-02 01:08:13,57.79,-152.4072,56.93,92,97,5.73
97,Haines Junction,CA,2021-08-02 01:09:49,60.7522,-137.5108,81.82,27,12,5.48
98,Monte Patria,CL,2021-08-02 01:05:53,-30.6919,-70.9467,68.45,21,0,0.13
99,Banyo,CM,2021-08-02 01:09:50,6.75,11.8167,63.28,96,100,3.91
100,Provideniya,RU,2021-08-02 01:09:50,64.3833,-173.3,44.71,76,90,22.37
101,Nikolskoye,RU,2021-08-02 01:09:51,59.7035,30.7861,61.02,83,100,5.44
102,Isangel,VU,2021-08-02 01:09:51,-19.55,169.2667,72.07,58,44,9.82
103,Faanui,PF,2021-08-02 01:09:51,-16.4833,-151.75,78.12,69,23,15.03
104,Lakes Entrance,AU,2021-08-02 01:09:52,-37.8811,147.981,57.18,48,0,5.97
105,Nouadhibou,MR,2021-08-02 01:09:52,20.931,-17.0347,69.73,86,0,17.29
106,Fortuna,US,2021-08-02 01:09:53,40.5982,-124.1573,69.93,72,20,3.0
107,Kasulu,TZ,2021-08-02 01:09:53,-4.5767,30.1025,62.73,58,17,1.34
108,Vaini,TO,2021-08-02 01:09:53,-21.2,-175.2,75.36,73,20,16.11
109,Scottsbluff,US,2021-08-02 01:09:54,41.8666,-103.6672,83.79,34,1,3.0
110,Tuatapere,NZ,2021-08-02 01:09:54,-46.1333,167.6833,45.82,89,100,5.68
111,Cruzeiro Do Sul,BR,2021-08-02 01:09:55,-29.5128,-51.9853,54.52,89,0,1.9
112,Bengkulu,ID,2021-08-02 01:09:55,-3.8004,102.2655,75.9,89,97,3.71
113,Bambous Virieux,MU,2021-08-02 01:09:55,-20.3428,57.7575,66.22,69,7,12.26
114,Ust-Tsilma,RU,2021-08-02 01:09:56,65.441,52.1498,48.67,96,49,2.51
115,Polson,US,2021-08-02 01:09:56,47.6936,-114.1632,74.41,79,100,10.96
116,Bereda,ES,2021-08-02 01:09:57,43.2686,-7.5406,59.41,100,96,2.86
117,Valasske Klobouky,CZ,2021-08-02 01:09:57,49.1406,18.0076,61.9,90,100,4.63
118,Qaanaaq,GL,2021-08-02 01:09:57,77.484,-69.3632,42.01,84,74,2.15
119,Sechura,PE,2021-08-02 01:09:58,-5.5569,-80.8222,66.56,75,0,15.5
120,Isakly,RU,2021-08-02 01:09:58,54.1333,51.5333,67.06,54,85,3.13
121,Saint-Pierre,RE,2021-08-02 01:09:59,-21.3393,55.4781,67.64,65,40,5.75
122,Batemans Bay,AU,2021-08-02 01:09:59,-35.7167,150.1833,59.2,58,0,4.79
123,Carnarvon,AU,2021-08-02 01:10:00,-24.8667,113.6333,57.92,56,0,20.51
124,Harper,LR,2021-08-02 01:10:00,4.375,-7.7169,76.3,78,100,6.15
125,Hofn,IS,2021-08-02 01:10:00,64.2539,-15.2082,53.51,92,98,2.68
126,Brae,GB,2021-08-02 01:10:01,60.3964,-1.353,48.11,80,100,12.03
127,Nampa,US,2021-08-02 01:06:00,43.5407,-116.5635,83.05,71,1,6.91
128,Severo-Kurilsk,RU,2021-08-02 01:10:01,50.6789,156.125,57.58,67,21,14.38
129,Ponta Do Sol,PT,2021-08-02 01:10:03,32.6667,-17.1,72.23,85,2,4.03
130,Kieta,PG,2021-08-02 01:10:04,-6.2167,155.6333,84.13,71,23,4.65
131,Aquiraz,BR,2021-08-02 01:10:04,-3.9014,-38.3911,80.69,68,68,8.9
132,Zavetnoye,RU,2021-08-02 01:10:05,47.1194,43.8903,78.82,35,1,1.61
133,Hami,CN,2021-08-02 01:10:05,42.8,93.45,73.42,33,6,4.34
134,Alto Paraguai,BR,2021-08-02 01:10:06,-14.5136,-56.4825,74.48,31,0,4.54
135,Bathsheba,BB,2021-08-02 01:10:06,13.2167,-59.5167,81.21,78,20,11.5
136,Ust-Kuyga,RU,2021-08-02 01:10:06,70.0167,135.6,65.46,37,0,5.41
137,Chicama,PE,2021-08-02 01:10:07,-7.8447,-79.1469,63.14,80,0,6.08
138,Beringovskiy,RU,2021-08-02 01:10:07,63.05,179.3167,45.72,79,96,21.34
139,Havelock,US,2021-08-02 01:10:08,34.8791,-76.9013,75.94,96,27,3.0
140,Roma,US,2021-08-02 01:10:08,43.2128,-75.4557,62.85,94,90,0.0
141,Copala,MX,2021-08-02 01:10:08,16.65,-98.9833,81.82,82,80,4.72
142,Ayan,RU,2021-08-02 01:10:09,56.45,138.1667,57.36,82,100,25.32
143,Kavieng,PG,2021-08-02 01:10:09,-2.5744,150.7967,83.03,76,13,7.99
144,Bowmore,US,2021-08-02 01:10:10,34.9421,-79.3031,80.19,93,20,5.75
145,San Jose,US,2021-08-02 01:07:52,37.3394,-121.895,84.11,54,20,14.97
146,Talnakh,RU,2021-08-02 01:10:10,69.4865,88.3972,60.35,77,100,5.08
147,Rassvet,RU,2021-08-02 01:10:11,46.8333,40.75,80.1,27,97,4.29
148,Hithadhoo,MV,2021-08-02 01:10:11,-0.6,73.0833,81.32,72,85,6.42
149,Port Elizabeth,ZA,2021-08-02 01:10:12,-33.918,25.5701,59.09,85,84,14.18
150,Hasaki,JP,2021-08-02 01:10:12,35.7333,140.8333,88.29,80,20,10.04
151,Tsiroanomandidy,MG,2021-08-02 01:07:17,-18.7667,46.0333,56.86,69,64,3.6
152,Tautira,PF,2021-08-02 01:10:13,-17.7333,-149.15,82.42,63,8,7.2
153,Flinders,AU,2021-08-02 01:10:13,-34.5833,150.8552,63.21,95,11,1.99
