City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1063,Chinsali,ZM,54.97,few clouds,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
1068,Naryan-Mar,RU,50.68,overcast clouds,67.6713,53.086999999999996,Hostel Agat
1070,Nome,US,54.16,light rain,64.5011,-165.4064,Dredge 7 Inn
1076,Villa Maria,AR,43.83,clear sky,-32.4075,-63.2402,Hotel Milenium
1077,Deputatskiy,RU,52.54,clear sky,69.3,139.9,Baza Otdykha
1085,Marquette,US,56.77,few clouds,46.5333,-87.6335,Al Quaal Lodge
1089,San Vicente,AR,47.41,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
1102,Lewes,GB,58.32,scattered clouds,50.8736,0.0113,The Shelleys
1108,Bollnas,SE,52.12,moderate rain,61.3482,16.3946,Grand Hotel
1125,Folkestone,GB,58.71,scattered clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
1136,Reims,FR,59.95,clear sky,49.1667,4.0833,Château de Rilly
1146,Mocuba,MZ,57.49,clear sky,-16.8392,36.9856,Phama Lodge
1148,Leshukonskoye,RU,55.4,light rain,64.8989,45.7622,Pryalitsa Hostel
1150,Andenes,NO,46.38,broken clouds,69.3143,16.1194,Hotell Marena
1154,San Rafael,AR,52.0,clear sky,-34.6177,-68.3301,Hotel San Rafael
1158,Port Augusta,AU,57.06,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
1159,Mercedes,AR,48.83,clear sky,-34.6515,-59.4307,Posada del Inti Centro
1161,Rio Gallegos,AR,42.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
1167,Geraldton,AU,56.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
1168,Franca,BR,57.88,clear sky,-20.5386,-47.4008,Imperador Palace Hotel
1169,Ostashkov,RU,58.15,overcast clouds,57.1467,33.1075,Ashkhen
1170,Calama,CL,48.69,overcast clouds,-22.4667,-68.9333,Diego De Almagro Calama
1174,Nuuk,GL,56.01,drizzle,64.1835,-51.7216,Vandrehuset
